Date,Price,Location,Bedroom,PropertyType
2022-02-24,350000000,Guzape District,6,detached duplex
2022-09-22,100000000,Guzape District,4,terraced duplex
2022-09-22,410000000,Guzape District,7,detached duplex
2022-08-31,40000000,Lugbe District,3,block of flats
2022-08-25,150000000,Wuse 2,3,semi-detached duplex
2022-09-19,58000000,Garki,3,terraced duplex
2022-05-16,78000000,Lokogoma District,4,detached duplex
2022-09-23,750000000,Wuse 2,6,detached duplex
2022-05-17,1200000000,Asokoro District,10,detached duplex
2022-05-19,200000000,Garki,5,detached duplex
2022-05-25,170000000,Wuse,4,detached bungalow
2022-05-28,250000000,Katampe,4,detached duplex
2022-06-01,80000000,Kubwa,8,detached duplex
2022-06-19,148000000,Katampe,4,terraced duplex
2022-06-20,120000000,Apo,5,detached duplex
2022-06-25,65000000,Katampe,4,terraced duplex
2022-07-05,37000000,Lugbe District,4,detached bungalow
2022-07-08,400000000,Katampe,6,detached duplex
2022-09-23,110000000,Apo,5,detached duplex
2022-09-23,280000000,Wuye,5,detached duplex
2022-08-08,3000000000,Guzape District,8,detached duplex
2022-08-08,1000000000,Maitama District,5,detached duplex
2022-08-09,150000000,Jahi,4,terraced duplex
2022-08-15,30000000,Kado,3,block of flats
2022-08-16,180000000,Gwarinpa,4,detached duplex
2022-09-22,250000000,Maitama District,4,terraced duplex
2022-09-01,85000000,Karmo,4,semi-detached duplex
2022-09-22,2300000000,Maitama District,9,detached duplex
2022-09-22,70000000,Lokogoma District,4,terraced duplex
2022-09-22,60000000,Lugbe District,4,detached bungalow
2022-09-22,380000000,Asokoro District,4,terraced duplex
2022-08-23,135000000,Mabushi,4,detached duplex
2022-09-21,100000000,Idu Industrial,4,detached duplex
2022-09-21,120000000,Wuye,6,terraced duplex
2022-09-21,100000000,Katampe,4,terraced duplex
2022-09-11,140000000,Wuye,4,detached duplex
2022-09-15,90000000,Durumi,4,terraced duplex
2021-06-11,700000000,Wuse 2,6,detached duplex
2022-09-04,13800000,Mararaba,3,detached bungalow
2022-09-12,95000000,Jahi,3,terraced duplex
2022-08-22,18000000,Lugbe District,2,detached bungalow
2022-09-22,120000000,Gwarinpa,3,detached bungalow
2022-09-22,200000000,Utako,5,house
2022-08-31,70000000,Guzape District,4,terraced duplex
2022-09-22,190000000,Gwarinpa,5,detached duplex
2021-03-10,230000000,Asokoro District,5,semi-detached duplex
2022-09-22,20000000,Wuse,1,block of flats
2022-09-22,1000000000,Asokoro District,5,terraced duplex
2022-09-22,570000000,Asokoro District,4,detached duplex
2022-09-15,170000000,Garki,8,block of flats
2022-07-04,40000000,Life Camp,3,block of flats
2022-04-10,60000000,Apo,5,house
2022-05-26,70000000,Guzape District,4,terraced duplex
2022-08-02,230000000,Apo,7,house
2022-09-21,75000000,Garki,3,terraced duplex
2022-09-12,33000000,Life Camp,2,semi-detached bungalow
2022-09-21,190000000,Karsana,5,detached duplex
2022-09-21,160000000,Katampe,5,terraced duplex
2022-09-14,135000000,Lugbe District,4,semi-detached duplex
2022-09-21,900000000,Maitama District,7,detached duplex
2022-09-21,45000000,Gaduwa,4,terraced duplex
2022-08-26,49000000,Lokogoma District,4,semi-detached duplex
2022-09-12,125000000,Kubwa,4,detached duplex
2022-09-20,85000000,Dape,5,detached duplex
2022-09-21,47000000,Kurudu,4,detached bungalow
2022-06-20,140000000,Mabushi,4,terraced duplex
2022-09-21,280000000,Apo,6,detached duplex
2022-04-25,250000000,Jahi,4,detached duplex
2022-04-11,250000000,Maitama District,4,terraced duplex
2022-04-25,550000000,Guzape District,8,detached duplex
2022-05-09,135000000,Jabi,4,semi-detached duplex
2022-05-10,250000000,Maitama District,4,terraced duplex
2022-05-10,80000000,Kabusa,4,detached duplex
2022-06-21,350000000,Asokoro District,6,detached duplex
2022-07-19,250000000,Guzape District,6,detached duplex
2022-07-31,200000000,Gwarinpa,6,detached duplex
2022-08-03,165000000,Gwarinpa,5,detached duplex
2022-08-23,150000000,Wuye,5,terraced duplex
2022-08-23,250000000,Guzape District,5,detached duplex
2022-08-23,230000000,Jahi,4,semi-detached duplex
2022-08-23,260000000,Wuye,5,detached duplex
2022-03-12,850000000,Jabi,7,detached duplex
2022-03-12,650000000,Jabi,5,detached duplex
2020-10-12,70000000,Karmo,4,terraced duplex
2020-10-24,80000000,Wuye,4,terraced duplex
2021-01-02,1000000000,Katampe,4,detached duplex
2021-02-28,28500000,Kubwa,3,terraced duplex
2021-04-12,200000000,Wuse,4,semi-detached duplex
2021-04-23,55000000,Dape,3,terraced duplex
2021-04-12,66000000,Kubwa,4,terraced duplex
2021-04-25,165000000,Karsana,5,detached duplex
2021-05-09,100000000,Karmo,5,semi-detached duplex
2021-05-23,70000000,Karmo,5,detached duplex
2021-06-27,20000000,Karshi,3,semi-detached duplex
2021-07-16,30000000,Kagini,3,terraced duplex
2021-07-24,33000000,Nyanya,4,detached bungalow
2021-09-05,10000000,Idu Industrial,2,semi-detached bungalow
2021-10-16,250000000,Wuye,5,detached duplex
2021-10-16,53000000,Kubwa,4,detached duplex
2021-10-27,70000000,Gwarinpa,4,terraced duplex
2021-11-05,850000000,Mabushi,5,detached duplex
2021-11-19,70000000,Life Camp,4,terraced duplex
2021-12-06,20000000,Dakwo,2,semi-detached bungalow
2021-12-12,750000000,Wuse 2,1,block of flats
2022-01-07,750000000,Asokoro District,4,semi-detached duplex
2022-01-22,90000000,Wuye,4,terraced duplex
2022-01-30,70000000,Life Camp,4,semi-detached duplex
2022-03-10,190000000,Guzape District,5,semi-detached duplex
2022-03-10,30000000,Gwagwalada,3,detached bungalow
2022-03-11,30000000,Kuje,3,detached bungalow
2022-04-08,77000000,Life Camp,4,terraced duplex
2022-05-18,50000000,Lugbe District,4,terraced duplex
2022-05-23,130000000,Gaduwa,5,detached duplex
2022-05-27,175000000,Karsana,5,detached duplex
2022-06-25,30000000,Galadimawa,3,detached bungalow
2022-06-26,550000000,Asokoro District,3,terraced duplex
2022-07-15,50000000,Gwarinpa,4,detached duplex
2022-07-18,80000000,Kaura,4,terraced duplex
2022-07-22,90000000,Katampe,4,semi-detached duplex
2022-07-23,45000000,Gaduwa,4,terraced duplex
2022-07-23,40000000,Nyanya,3,detached bungalow
2022-07-23,29000000,Kagini,4,terraced duplex
2022-07-26,75000000,Karmo,4,semi-detached duplex
2022-07-26,125000000,Asokoro District,4,semi-detached duplex
2022-07-28,100000000,Wuse,4,terraced duplex
2022-07-28,65900000,Kubwa,4,terraced duplex
2022-07-28,70000000,Asokoro District,3,terraced duplex
2022-07-28,75000000,Karsana,3,detached bungalow
2022-07-29,50000000,Kubwa,2,block of flats
2022-08-04,30000000,Kubwa,3,terraced duplex
2022-08-07,250000000,Gwarinpa,7,detached duplex
2022-08-15,40000000,Lugbe District,4,terraced duplex
2022-08-19,45000000,Apo,4,terraced duplex
2022-08-19,80000000,Durumi,4,terraced duplex
2022-08-21,400000000,Kafe,5,detached duplex
2022-08-21,200000000,Katampe,5,terraced duplex
2022-09-03,250000000,Jabi,3,block of flats
2022-09-08,150000000,Wuye,4,terraced duplex
2022-09-11,130000000,Katampe,4,detached duplex
2022-08-11,900000000,Katampe,4,terraced duplex
2021-06-20,2500000000,Jabi,3,block of flats
2022-06-07,100000000,Katampe,5,terraced duplex
2022-06-06,150000000,Katampe,5,terraced duplex
2022-09-13,1000000000,Asokoro District,8,detached duplex
2021-06-07,210000000,Jabi,5,terraced duplex
2022-09-20,165000000,Jahi,5,terraced duplex
2022-09-20,140000000,Jahi,4,terraced duplex
2022-09-20,150000000,Jahi,4,terraced duplex
2022-07-04,55000000,Life Camp,4,terraced duplex
2022-08-04,214000000,Asokoro District,4,house
2022-09-20,55000000,Lugbe District,4,detached bungalow
2022-05-31,150000000,Wuye,4,terraced duplex
2021-08-25,250000000,Wuye,5,detached duplex
2022-09-20,1100000000,Guzape District,7,detached duplex
2022-09-20,25000000,Lugbe District,3,detached bungalow
2022-09-16,160000000,Guzape District,4,terraced duplex
2022-09-04,85000000,Wuye,4,terraced duplex
2022-09-08,350000000,Wuye,5,detached duplex
2022-09-08,140000000,Karmo,5,detached duplex
2022-09-20,100000000,Jahi,3,terraced duplex
2022-09-20,90000000,Gwarinpa,5,detached duplex
2022-09-20,850000000,Katampe,7,detached duplex
2022-09-19,30000000,Apo,2,block of flats
2022-09-19,1000000000,Maitama District,5,house
2022-09-19,120000000,Jahi,4,house
2022-09-19,85000000,Life Camp,4,detached duplex
2022-09-16,100000000,Kubwa,4,detached duplex
2022-03-10,55000000,Lugbe District,4,terraced duplex
2022-09-19,70000000,Durumi,4,terraced duplex
2021-09-02,375000000,Jahi,5,detached duplex
2022-07-16,1000000000,Maitama District,9,detached duplex
2022-09-19,250000000,Katampe,5,detached duplex
2022-09-19,320000000,Maitama District,4,semi-detached duplex
2022-09-19,1100000000,Maitama District,6,detached duplex
2022-09-19,300000000,Wuye,5,detached duplex
2022-09-19,150000000,Jahi,4,terraced duplex
2022-09-19,95000000,Utako,4,terraced duplex
2022-09-19,900000000,Asokoro District,4,semi-detached duplex
2022-09-19,190000000,Jabi,4,terraced duplex
2022-09-19,120000000,Karsana,5,detached duplex
2022-07-31,60000000,Dakwo,4,terraced duplex
2022-04-11,350000000,Jabi,5,detached duplex
2022-09-19,50000000,Guzape District,2,block of flats
2022-09-19,55000000,Jabi,4,terraced duplex
2022-08-29,95000000,Life Camp,5,detached duplex
2022-09-19,70000000,Lugbe District,4,detached bungalow
2022-08-13,35000000,Gaduwa,4,terraced duplex
2022-09-19,35000000,Gaduwa,4,terraced duplex
2022-09-12,38000000,Jahi,2,block of flats
2022-08-29,38000000,Jahi,2,block of flats
2022-02-28,52000000,Gwarinpa,3,terraced duplex
2022-03-03,55000000,Life Camp,4,terraced duplex
2022-03-22,95000000,Jahi,5,semi-detached duplex
2022-07-17,70000000,Gwarinpa,4,terraced duplex
2022-05-12,40000000,Life Camp,4,terraced duplex
2022-03-18,2500000000,Asokoro District,4,detached duplex
2022-05-11,190000000,Guzape District,5,detached duplex
2022-05-11,1500000000,Maitama District,5,semi-detached duplex
2022-07-02,900000000,Asokoro District,4,semi-detached duplex
2022-09-18,150000000,Wuse 2,4,semi-detached duplex
2022-09-18,150000000,Guzape District,4,semi-detached duplex
2021-04-25,20000000,Karsana,5,detached duplex
2022-09-18,150000000,Katampe,4,terraced duplex
2022-03-05,26000000,Life Camp,3,terraced duplex
2022-08-09,180000000,Jahi,4,terraced duplex
2022-08-15,120000000,Gudu,5,terraced duplex
2022-08-16,40000000,Gaduwa,3,terraced duplex
2022-09-06,30000000,Lugbe District,3,semi-detached bungalow
2021-06-12,270000000,Katampe,8,semi-detached duplex
2022-03-09,180000000,Gwarinpa,5,detached duplex
2022-03-11,210000000,Mpape,3,block of flats
2022-04-30,370000000,Wuse,3,block of flats
2022-07-05,70000000,Gwarinpa,4,terraced duplex
2022-08-05,100000000,Katampe,4,terraced duplex
2022-08-05,850000000,Guzape District,7,detached duplex
2022-08-05,250000000,Garki,5,detached duplex
2022-08-07,290000000,Gwarinpa,5,detached duplex
2022-09-17,130000000,Apo,4,terraced duplex
2022-09-10,350000000,Wuye,5,detached duplex
2022-09-17,120000000,Guzape District,4,terraced duplex
2022-09-17,25000000,Garki,2,block of flats
2022-09-17,200000000,Asokoro District,5,detached duplex
2022-09-17,75000000,Apo,4,semi-detached duplex
2022-09-17,68000000,Lugbe District,3,terraced duplex
2022-09-17,26000000,Lugbe District,3,terraced duplex
2022-09-17,31000000,Lugbe District,4,detached duplex
2022-09-17,55000000,Lugbe District,5,detached duplex
2022-09-17,85000000,Lugbe District,5,detached duplex
2022-09-17,80000000,Karsana,4,semi-detached duplex
2022-09-17,74000000,Lugbe District,4,detached duplex
2022-09-17,70000000,Wuse 2,3,block of flats
2022-09-17,35000000,Apo,4,semi-detached duplex
2022-09-17,900000000,Maitama District,7,house
2022-09-17,350000000,Wuye,5,house
2022-09-17,85000000,Wuye,4,terraced duplex
2022-09-17,185000000,Gwarinpa,5,detached duplex
2022-09-17,85000000,Durumi,4,terraced duplex
2022-09-17,130000000,Katampe,4,terraced duplex
2022-09-17,350000000,Apo,7,detached duplex
2022-09-13,230000000,Gwarinpa,7,house
2022-09-16,45000000,Life Camp,4,terraced duplex
2022-09-16,60000000,Wuye,4,block of flats
2022-09-16,90000000,Apo,4,detached duplex
2022-09-16,38000000,Wuye,2,block of flats
2022-09-16,40000000,Lokogoma District,5,house
2022-09-07,110000000,Guzape District,4,terraced duplex
2022-09-14,250000000,Gwarinpa,5,terraced duplex
2022-06-19,55000000,Katampe,3,block of flats
2022-07-07,95000000,Katampe,4,terraced duplex
2022-07-26,90000000,Gwarinpa,5,house
2022-08-25,70000000,Kubwa,4,detached duplex
2022-08-27,450000000,Gwarinpa,8,detached duplex
2022-08-30,60000000,Life Camp,4,terraced duplex
2022-08-31,95000000,Idu Industrial,4,house
